method	sample	cutSite	Count	kiwi_sample	extraction	tech_rep
RT-GBS	KFA_1_1	29430	1686001	KFA	1	1
RT-GBS	KFA_1_2	33146	2152537	KFA	1	2
RT-GBS	KFA_1_3	28697	1456442	KFA	1	3
RT-GBS	KFA_1_4	34675	2270425	KFA	1	4
RT-GBS	KFA_2_1	29000	2082465	KFA	2	1
RT-GBS	KFA_2_2	32429	1595938	KFA	2	2
RT-GBS	KFA_2_3	29996	1741513	KFA	2	3
RT-GBS	KFA_2_4	29858	1760188	KFA	2	4
RT-GBS	KFB_1_1	28096	2150326	KFB	1	1
RT-GBS	KFB_1_2	28942	1714064	KFB	1	2
RT-GBS	KFB_1_3	29136	2074972	KFB	1	3
RT-GBS	KFB_1_4	29075	1810982	KFB	1	4
RT-GBS	KFB_2_1	29993	1809343	KFB	2	1
RT-GBS	KFB_2_2	29803	1954185	KFB	2	2
RT-GBS	KFB_2_3	29127	1867006	KFB	2	3
RT-GBS	KFB_2_4	27517	1675567	KFB	2	4
RT-GBS	KFC_1_1	27981	1843564	KFC	1	1
RT-GBS	KFC_1_2	28311	1860528	KFC	1	2
RT-GBS	KFC_1_3	28702	1811241	KFC	1	3
RT-GBS	KFC_1_4	27450	1562654	KFC	1	4
RT-GBS	KFC_2_1	29309	1868010	KFC	2	1
RT-GBS	KFC_2_2	25426	1448431	KFC	2	2
RT-GBS	KFC_2_3	27629	1933801	KFC	2	3
RT-GBS	KFC_2_4	24859	1713294	KFC	2	4
RT-GBS	KFD_1_1	28762	1935351	KFD	1	1
RT-GBS	KFD_1_2	24718	1291174	KFD	1	2
RT-GBS	KFD_1_3	25193	1490796	KFD	1	3
RT-GBS	KFD_1_4	21371	916990	KFD	1	4
RT-GBS	KFD_2_1	27561	1895632	KFD	2	1
RT-GBS	KFD_2_2	27811	1841894	KFD	2	2
RT-GBS	KFD_2_3	24879	1386716	KFD	2	3
RT-GBS	KFD_2_4	22516	1524727	KFD	2	4
RT-GBS	KFE_1_1	27441	1280695	KFE	1	1
RT-GBS	KFE_1_2	26803	1409486	KFE	1	2
RT-GBS	KFE_1_3	24001	1117361	KFE	1	3
RT-GBS	KFE_1_4	24669	1370729	KFE	1	4
RT-GBS	KFE_2_1	25887	1754844	KFE	2	1
RT-GBS	KFE_2_2	25611	1656501	KFE	2	2
RT-GBS	KFE_2_3	23966	1198763	KFE	2	3
RT-GBS	KFE_2_4	21410	976248	KFE	2	4
RT-GBS	KFF_1_1	19381	662126	KFF	1	1
RT-GBS	KFF_1_2	13779	388710	KFF	1	2
RT-GBS	KFF_1_3	18401	680776	KFF	1	3
RT-GBS	KFF_1_4	21972	1107313	KFF	1	4
RT-GBS	KFF_2_1	22813	973213	KFF	2	1
RT-GBS	KFF_2_2	20828	1025270	KFF	2	2
RT-GBS	KFF_2_3	21570	1004393	KFF	2	3
RT-GBS	KFF_2_4	23396	1293523	KFF	2	4
S-GBS	KFA_1_1	14642	1365457	KFA	1	1
S-GBS	KFA_1_2	17656	1623636	KFA	1	2
S-GBS	KFA_1_3	15897	1502564	KFA	1	3
S-GBS	KFA_1_4	14552	1426267	KFA	1	4
S-GBS	KFA_2_1	17611	1701916	KFA	2	1
S-GBS	KFA_2_2	17639	1446564	KFA	2	2
S-GBS	KFA_2_3	16169	1384262	KFA	2	3
S-GBS	KFA_2_4	16052	1414049	KFA	2	4
S-GBS	KFB_1_1	15330	1453725	KFB	1	1
S-GBS	KFB_1_2	15958	1528098	KFB	1	2
S-GBS	KFB_1_3	16874	1537379	KFB	1	3
S-GBS	KFB_1_4	15736	1655737	KFB	1	4
S-GBS	KFB_2_1	17362	1741906	KFB	2	1
S-GBS	KFB_2_2	16317	1614310	KFB	2	2
S-GBS	KFB_2_3	14948	1268679	KFB	2	3
S-GBS	KFB_2_4	15277	1402205	KFB	2	4
S-GBS	KFC_1_1	15501	1519490	KFC	1	1
S-GBS	KFC_1_2	16088	1704845	KFC	1	2
S-GBS	KFC_1_3	16057	1565090	KFC	1	3
S-GBS	KFC_1_4	15156	1517388	KFC	1	4
S-GBS	KFC_2_1	16160	1548757	KFC	2	1
S-GBS	KFC_2_2	20011	1686774	KFC	2	2
S-GBS	KFC_2_3	16723	1595119	KFC	2	3
S-GBS	KFC_2_4	14765	1296866	KFC	2	4
S-GBS	KFD_1_1	12693	724299	KFD	1	1
S-GBS	KFD_1_2	12124	719714	KFD	1	2
S-GBS	KFD_1_3	12805	648463	KFD	1	3
S-GBS	KFD_1_4	12981	715306	KFD	1	4
S-GBS	KFD_2_1	14653	842833	KFD	2	1
S-GBS	KFD_2_2	13828	806031	KFD	2	2
S-GBS	KFD_2_3	12690	781983	KFD	2	3
S-GBS	KFD_2_4	13756	742500	KFD	2	4
S-GBS	KFE_1_1	16672	1845210	KFE	1	1
S-GBS	KFE_1_2	15362	1763937	KFE	1	2
S-GBS	KFE_1_3	14212	1453174	KFE	1	3
S-GBS	KFE_1_4	15193	1808185	KFE	1	4
S-GBS	KFE_2_1	15758	1868152	KFE	2	1
S-GBS	KFE_2_2	14885	1727358	KFE	2	2
S-GBS	KFE_2_3	15041	1718670	KFE	2	3
S-GBS	KFE_2_4	15007	1601175	KFE	2	4
S-GBS	KFF_1_1	18739	2381383	KFF	1	1
S-GBS	KFF_1_2	17368	2378416	KFF	1	2
S-GBS	KFF_1_3	16408	2072411	KFF	1	3
S-GBS	KFF_1_4	18510	2303680	KFF	1	4
S-GBS	KFF_2_1	18270	2322194	KFF	2	1
S-GBS	KFF_2_2	19739	2255527	KFF	2	2
S-GBS	KFF_2_3	17998	2059151	KFF	2	3
S-GBS	KFF_2_4	17040	2079710	KFF	2	4
